mxE3PJJF,2021.05.19,16:15:18,600+0,Normal,1-0,Javier9384,1437,+6,jacobaharris,1412,-5
1GIXDccv,2021.05.19,16:26:00,600+0,Normal,1-0,jacobaharris,1407,+3,Reflection_Pure,1169,-2
G7otxCAq,2021.05.19,16:33:13,600+0,Normal,1-0,Celtruler,1276,+8,jacobaharris,1410,-8
bx4NBFfI,2021.05.19,16:41:26,600+0,Normal,0-1,K_I_A_N,1427,-13,jacobaharris,1402,+6
QLLhyEvz,2021.06.03,18:34:34,600+0,Time forfeit,0-1,jacobaharris,1408,-8,Tumuti,1402,+6
ZZYtXm4M,2021.06.03,18:52:24,600+0,Time forfeit,1-0,Jumpman18,1398,+7,jacobaharris,1400,-7
bfjrCSk4,2021.06.12,01:46:43,600+0,Time forfeit,0-1,jacobaharris,1393,-11,tenmax,1299,+9
k6OnhDU1,2021.06.12,02:05:22,600+0,Normal,1-0,jacobaharris,1382,+9,DavidK1ng,1367,-5
48HL5IKD,2021.06.12,02:16:52,600+0,Time forfeit,0-1,jacobaharris,1391,-9,janefc,1375,+8
oLqAvKqc,2021.06.12,02:33:33,600+0,Time forfeit,1-0,dracusan,1379,+16,jacobaharris,1382,-8
QPgeg7NB,2021.06.12,02:52:00,600+0,Normal,0-1,Baibonel,1406,-7,jacobaharris,1374,+9
ynnK6JQD,2021.06.13,01:49:14,600+0,Normal,0-1,jacobaharris,1383,-7,Ahashver,1405,+5
sM6rLHnj,2021.06.13,02:05:35,600+0,Normal,1-0,jacobaharris,1376,+6,aranyea,1288,-5
2Isw9xhL,2021.06.13,02:17:08,600+0,Normal,0-1,Master_Ugwe,1422,-6,jacobaharris,1382,+9
n5v8FCHU,2021.06.13,02:35:24,600+0,Normal,0-1,DejalmaMorandin,1422,-6,jacobaharris,1391,+9
licGXBpc,2021.06.13,02:43:29,600+0,Normal,0-1,Leonel_Montilla,1301,-4,jacobaharris,1400,+6
wZ9QDMnw,2021.06.13,02:55:06,600+0,Normal,1-0,jacobaharris,1406,+7,bruteforce42,1404,-6
QESQarJ1,2021.06.13,03:00:06,600+0,Normal,1-0,jacobaharris,1413,+8,someshkrishnasr,1420,-24
Uo1v343k,2021.06.13,03:15:12,600+0,Time forfeit,1-0,CarlosPita,1476,+5,jacobaharris,1421,-6
mH9Z5Lja,2021.06.13,03:35:03,600+0,Normal,1-0,jacobaharris,1415,+6,yerlitesla,1355,-5
F49rzcwr,2021.06.13,03:48:40,600+0,Normal,0-1,jacobaharris,1421,-7,Jackie2603,1414,+9
IcbzR4yE,2021.06.13,04:04:29,600+0,Time forfeit,0-1,jacobaharris,1414,-7,Denizozenamanoobolan,1373,+7
Ll0jWd4l,2021.06.13,04:21:41,600+0,Normal,0-1,Jirendm,1300,-4,jacobaharris,1407,+5
i7oq3h0r,2021.06.16,02:49:23,600+0,Normal,0-1,Guixasieb,1353,-5,jacobaharris,1412,+6
h3JEbRzD,2021.06.16,02:54:45,600+0,Normal,1-0,jacobaharris,1418,+7,RooksRagu,1406,-6
GYCMfA85,2021.06.16,03:02:13,600+0,Normal,0-1,Johnny_CWB,1429,-5,jacobaharris,1425,+7
L8qGoFGw,2021.06.16,03:15:19,600+0,Normal,1-0,jacobaharris,1432,+7,thada733,1445,-6
BVLTiG6D,2021.06.16,03:19:57,600+0,Normal,0-1,Basahaddin,1419,-5,jacobaharris,1439,+6
P5c2oRKR,2021.06.16,03:33:00,600+0,Time forfeit,0-1,jacobaharris,1445,-6,alurezd,1411,+7
lGpRyDEz,2021.06.16,03:51:13,600+0,Normal,1-0,Drxpout,1435,+17,jacobaharris,1439,-6
OKwKAq3r,2021.06.16,03:58:09,600+0,Time forfeit,0-1,jacobaharris,1433,-7,tar_dota,1416,+6
vFPrp8wd,2021.06.16,04:15:55,600+0,Normal,0-1,adupla8,1425,-6,jacobaharris,1426,+7
wZ0xmR90,2021.06.16,13:29:43,600+0,Normal,1-0,devanshi_03,1467,+5,jacobaharris,1433,-6
hO53qFg5,2021.06.16,13:46:29,600+0,Normal,0-1,Chessdaynnite,1340,-5,jacobaharris,1427,+5
j9iR6s4v,2021.06.16,14:25:32,600+0,Normal,0-1,jacobaharris,1432,-5,Troo_56,1446,+6
5PAi71eO,2021.06.16,14:36:16,600+0,Normal,1-0,lagerstrum,1442,+7,jacobaharris,1427,-6
eUF9W1Dz,2021.06.16,14:49:35,600+0,Normal,0-1,jacobaharris,1421,-6,Mahatiko,1404,+6
acIHBN1P,2021.06.16,15:03:43,600+0,Normal,1-0,jacobaharris,1415,+7,lksbh,1447,-6
IHds6WDP,2021.06.18,00:23:47,600+0,Normal,1-0,jacobaharris,1422,+3,Pedro_Mihawk,1234,-6
gm2HNlO5,2021.06.18,00:40:29,600+0,Normal,1-0,DaJazzNomad,1437,+6,jacobaharris,1425,-5
6a8fsyIM,2021.06.18,00:55:35,600+0,Normal,0-1,kgb32,1396,-5,jacobaharris,1420,+5
VX8O0akR,2021.06.18,01:13:08,600+0,Normal,1-0,jacobaharris,1425,+7,Runway_26L,1442,-6
pD6bqTkq,2021.06.18,01:19:35,600+0,Normal,0-1,lyo06673,1389,-13,jacobaharris,1432,+5
tL7Gk5uN,2021.06.18,01:37:25,600+0,Normal,1-0,BlazerGamer1001,1457,+6,jacobaharris,1437,-5
VjhKgyvw,2021.06.18,01:45:55,600+0,Normal,1-0,jacobaharris,1432,+5,SizzleWraps,1389,-16
JxMI8xHH,2021.06.18,01:53:39,600+0,Normal,1-0,jacobaharris,1437,+6,Nihilisticjunky,1434,-6
tymh5sVF,2021.06.18,02:14:10,600+0,Normal,0-1,jacobaharris,1443,-6,kadyn0294,1403,+6
w7mXcQHz,2021.06.18,02:29:21,600+0,Time forfeit,0-1,T-2wadbee-T,1470,-6,jacobaharris,1437,+6
UegqSXo6,2021.06.18,14:08:25,600+0,Normal,0-1,schwarzklein,1427,-6,jacobaharris,1443,+6
nTRF1qgz,2021.06.18,14:19:25,600+0,Normal,1-0,LD95,1452,+6,jacobaharris,1449,-5
7YouWK97,2021.06.18,14:26:12,600+0,Normal,0-1,jacobaharris,1444,-6,samhbk,1448,+7
wrpMiEIy,2021.06.18,14:42:21,600+0,Normal,0-1,slonick,1517,-7,jacobaharris,1438,+8
1Zwr29rV,2021.06.18,14:58:38,600+0,Normal,1-0,jacobaharris,1446,+5,KjROO713,1412,-5
jYiJqvlC,2021.06.18,20:08:06,600+0,Normal,0-1,MaNe1977,1375,-5,jacobaharris,1451,+5
CYN7l4gi,2021.06.18,20:14:18,600+0,Normal,1-0,jacobaharris,1456,+6,Wedzio,1449,-6
Givn5rYF,2021.06.18,20:17:11,600+0,Normal,0-1,sanyok6,1472,-15,jacobaharris,1462,+6
I1rGQQBw,2021.06.18,20:20:59,600+0,Normal,1/2-1/2,queenE2,1486,+0,jacobaharris,1468,+1
qRUfJ7Ge,2021.06.18,20:34:25,600+0,Normal,1-0,jacobaharris,1469,+4,Tumo_Rakeiti,1397,-5
ZcBf02Jf,2021.06.18,20:45:24,600+0,Normal,1-0,jacobaharris,1473,+5,Dory5,1353,-4
F9gpUy9C,2021.06.18,20:55:02,600+0,Normal,1/2-1/2,JourLouis,1515,-1,jacobaharris,1478,+0
iJCkgvyr,2021.06.19,16:00:58,600+0,Normal,0-1,jacobaharris,1478,-5,Xelga-1,1489,+18
0TeTqeRX,2021.06.19,16:14:55,600+0,Time forfeit,0-1,Tushentsov,1366,-4,jacobaharris,1473,+4
cMxuLsJu,2021.06.19,16:29:24,600+0,Normal,1-0,jacobaharris,1477,+2,Dezz1988,1181,-2
pBGtF4BT,2021.06.19,16:37:44,600+0,Normal,0-1,Powerranger921,1208,-3,jacobaharris,1479,+2
gXJYPxv7,2021.06.19,16:48:21,600+0,Normal,1-0,AldenJohnBiju,1470,+7,jacobaharris,1481,-6
